source,target,weight
398,62,0.978708791
399,61,1.021505376
398,63,1.020408163
400,61,1.027122452
399,63,1.020408163
400,62,0.984090536
401,60,1.160990712
402,59,1.225490196
403,58,1.302083333
401,61,1.033101413
404,59,1.200980392
401,62,1.012712777
405,59,1.19168357
401,63,1.00040016
402,61,1.015531661
404,60,1.118421053
402,62,0.997150997
405,60,1.111615245
402,63,1.001511716
406,60,1.106934002
404,62,1.007326007
405,61,1.019651465
404,63,1.003401361
406,61,1.006997781
405,63,1.002814919
406,62,0.994243851
403,61,1.015531661
403,62,1.017501018
403,63,1.001511716
407,62,1.014370245
408,61,1.02406554
407,63,1.004709576
409,61,1.027122452
408,63,1.004211208
409,62,1.016893554
410,62,1.006036217
411,61,0.998463902
410,63,1.006036217
412,61,1.003584229
411,63,1.005830904
412,62,1.010989011
413,63,1.008542952
414,62,1.015289059
415,61,1.015531661
416,63,1.020408163
417,62,1.063452676
418,40,2.059025395
419,63,1.020408163
420,61,1.075268817
421,8,1.913875598
422,63,1.020408163
423,61,1.075268817
424,63,1.020408163
425,61,1.075268817
421,49,1.336675021
426,63,1.020408163
427,61,1.075268817
428,63,1.020408163
429,61,1.075268817
421,57,1.335428123
430,63,1.020408163
421,62,0.954308849
431,61,1.075268817
432,63,1.020408163
433,61,1.075268817
434,61,1.042684914
435,57,1.404741001
436,49,1.302401302
434,63,1.020408163
437,57,1.407249467
438,49,1.30952381
435,63,1.020408163
437,61,1.044546851
439,63,1.020408163
437,62,0.941915228
440,61,1.075268817
441,57,1.444390948
440,63,1.020408163
442,57,1.444390948
441,63,1.020408163
442,61,1.075268817
443,61,1.040582726
444,57,1.399253731
443,63,1.020408163
445,57,1.402080507
444,63,1.020408163
445,61,1.042684914
446,61,1.040582726
447,57,1.316944688
446,63,1.020408163
448,57,1.32196162
436,62,0.929839391
449,61,1.043643264
450,57,1.331181928
436,63,1.020408163
438,61,1.048387097
451,57,1.353696633
449,63,1.020408163
438,62,0.934065934
452,57,1.335428123
447,63,1.020408163
448,61,1.044546851
453,63,1.020408163
448,62,0.941915228
450,63,1.020408163
451,62,0.945566062
452,61,1.046972269
454,63,1.020408163
455,62,1.03021978
456,61,1.075268817
457,63,1.020408163
458,62,1.063452676
459,61,1.008064516
460,63,1.020408163
461,62,0.969618617
462,61,0.977517107
463,63,1.020408163
464,62,1.098901099
465,61,0.977517107
466,63,1.020408163
467,62,1.001939237
468,61,0.980392157
469,63,1.020408163
470,62,1.098901099
471,61,1.01010101
472,63,1.020408163
473,61,1.008064516
474,63,1.020408163
473,62,1.03021978
475,63,1.020408163
476,57,1.316944688
477,53,1.388888889
478,63,1.020408163
476,61,0.948766603
479,63,1.020408163
476,62,1.034259858
480,53,1.367521368
481,63,1.020408163
477,60,1.096491228
482,57,1.316944688
483,62,1.032301032
484,61,0.980392157
485,57,1.285240464
483,63,1.020408163
477,61,0.985663082
486,57,1.296150825
484,63,1.020408163
477,62,1.037851038
480,57,1.301186376
487,63,1.020408163
482,61,0.980392157
486,60,1.073407202
488,63,1.020408163
482,62,1.034259858
480,60,1.079622132
485,63,1.020408163
486,62,1.041064199
480,61,0.992555831
489,63,1.020408163
490,62,0.973312402
491,61,1.01010101
492,63,1.020408163
493,62,0.999000999
494,61,0.977517107
495,63,1.020408163
496,62,1.001939237
497,61,0.980392157
498,33,2
499,32,2.173913043
500,31,2.026143791
501,61,1.075268817
502,33,2
503,32,2.173913043
504,31,2.067183463
501,62,0.961538462
505,33,2
506,32,2.173913043
507,31,2.046783626
501,63,0.994897959
508,33,2
509,32,2.173913043
510,31,2.063492063
498,61,1.075268817
511,32,1.982097187
512,31,1.913580247
498,63,0.987491771
513,32,1.976284585
514,31,1.904761905
502,62,0.961538462
505,61,1.075268817
515,32,1.902173913
516,31,1.89701897
502,63,0.994897959
508,61,1.075268817
517,32,1.92687747
518,31,1.925925926
505,63,0.991253644
508,62,0.958016343
519,32,1.895206243
520,31,1.888888889
499,61,1.075268817
511,33,1.823529412
521,31,1.812865497
499,63,0.987491771
513,33,1.818181818
503,62,0.961538462
506,61,1.075268817
515,33,1.75
522,31,1.80878553
503,63,0.994897959
509,61,1.075268817
517,33,1.772727273
523,31,1.843971631
506,63,0.991253644
509,62,0.958016343
519,33,1.743589744
524,63,1.020408163
